customer_id,signup_date,last_active_date,subscription_plan,monthly_spend,support_tickets,logins_last_30_days,feature_usage_score,industry,team_size,is_churned
CUST100124,2022-10-16,2024-04-05,Basic,15.93,1,4,0.13,SaaS,1,False
CUST100125,2021-08-21,2024-04-20,Basic,15.47,2,7,0.15,SaaS,3,False
CUST100126,2023-04-20,2024-04-30,Pro,54.44,1,6,0.07,Finance,7,True
CUST100127,2023-05-09,2024-04-22,Enterprise,1705.38,1,8,0.5,Real Estate,454,False
CUST100128,2023-03-02,2024-04-28,Basic,16.4,6,12,0.39,SaaS,4,False
CUST100129,2021-07-26,2024-04-24,Pro,60.37,3,8,0.12,SaaS,11,False
CUST100130,2021-10-15,2022-10-02,Basic,21.35,0,10,0.14,Education,5,True
CUST100131,2021-10-09,2024-04-24,Basic,18.51,0,5,0.08,Real Estate,3,False
CUST100132,2023-09-09,2024-04-10,Basic,26.43,2,8,0.07,Healthcare,2,False
CUST100133,2022-03-23,2024-04-15,Basic,21.34,0,12,0.12,Finance,3,False
CUST100134,2021-05-26,2024-04-18,Enterprise,1374.38,2,10,0.35,SaaS,264,False
CUST100135,2023-05-06,2024-04-02,Basic,18.42,5,9,0.3,Real Estate,5,False
CUST100136,2023-09-06,2024-04-30,Pro,81.76,1,9,0.11,Education,19,True
CUST100137,2023-04-07,2024-04-26,Pro,86.0,1,9,0.32,SaaS,19,False
CUST100138,2022-08-11,2024-04-22,Basic,19.1,2,12,0.57,Finance,4,False
CUST100139,2022-02-08,2024-04-26,Enterprise,625.94,5,11,0.55,Healthcare,126,False
CUST100140,2023-08-02,2024-04-23,Enterprise,2097.07,0,9,0.15,SaaS,453,False
CUST100141,2021-07-21,2023-02-22,Basic,23.84,2,14,0.04,SaaS,4,True
CUST100142,2023-11-17,2024-04-22,Basic,23.02,2,9,0.06,Healthcare,4,False
CUST100143,2022-05-27,2024-04-07,Basic,23.71,2,7,0.56,E-commerce,3,False
CUST100144,2023-01-08,2024-04-12,Basic,18.43,0,7,0.09,Finance,3,False
CUST100145,2023-04-13,2024-04-30,Basic,21.51,1,19,0.29,E-commerce,4,True
CUST100146,2022-11-11,2024-04-02,Pro,63.24,3,14,0.22,SaaS,8,False
CUST100147,2021-09-20,2024-04-12,Pro,62.29,1,9,0.25,Real Estate,12,False
CUST100148,2021-12-24,2024-04-18,Basic,18.81,0,7,0.13,E-commerce,4,False
CUST100149,2023-08-29,2024-04-19,Basic,17.52,0,14,0.05,SaaS,1,False
CUST100150,2023-07-09,2024-04-23,Enterprise,1759.36,1,12,0.28,Healthcare,367,False
CUST100151,2022-03-20,2024-04-26,Basic,17.19,0,14,0.29,SaaS,5,False
CUST100152,2022-09-30,2024-04-14,Basic,16.43,1,16,0.44,E-commerce,2,False
CUST100153,2021-08-25,2023-02-11,Basic,14.18,4,15,0.05,SaaS,2,True
CUST100154,2024-03-27,2024-04-28,Enterprise,765.97,2,13,0.07,SaaS,137,False
CUST100155,2021-10-02,2024-04-06,Basic,18.73,0,10,0.22,E-commerce,3,False
CUST100156,2024-03-30,2024-04-30,Pro,73.87,1,10,0.41,Finance,19,True
CUST100157,2023-09-15,2024-04-03,Pro,75.44,2,11,0.48,Healthcare,16,False
CUST100158,2021-09-11,2022-01-31,Basic,22.06,0,12,0.38,SaaS,2,True
CUST100159,2024-02-21,2024-04-26,Pro,76.87,1,7,0.13,Healthcare,14,False
CUST100160,2022-06-25,2024-04-10,Basic,19.61,2,13,0.43,SaaS,5,False
CUST100161,2024-01-17,2024-04-25,Pro,77.32,4,3,0.23,E-commerce,17,False
CUST100162,2023-02-07,2024-04-05,Pro,71.34,5,13,0.42,Education,13,False
CUST100163,2023-11-10,2024-04-30,Pro,91.5,1,10,0.24,SaaS,18,True
CUST100164,2021-04-24,2024-04-11,Basic,21.18,6,10,0.16,SaaS,1,False
CUST100165,2023-02-10,2023-05-16,Pro,74.48,1,12,0.24,Finance,12,True
CUST100166,2021-07-11,2024-04-18,Basic,23.37,3,11,0.02,Finance,2,False
CUST100167,2023-08-20,2024-04-18,Basic,24.29,1,10,0.37,Education,3,False
CUST100168,2022-11-08,2024-04-11,Basic,17.8,2,14,0.03,Finance,2,False
CUST100169,2023-07-03,2024-04-30,Pro,62.86,3,7,0.29,Healthcare,15,True
CUST100170,2021-09-22,2024-04-14,Pro,85.11,0,18,0.47,Real Estate,19,False
CUST100171,2023-07-17,2024-04-22,Basic,20.23,2,16,0.27,Healthcare,2,False
CUST100172,2023-02-05,2024-04-30,Pro,56.83,2,10,0.06,Real Estate,9,True
CUST100173,2023-07-10,2023-08-20,Basic,16.62,3,8,0.23,Healthcare,4,True
CUST100174,2021-05-24,2021-10-18,Pro,68.99,3,15,0.13,E-commerce,14,True
CUST100175,2022-08-29,2024-04-09,Basic,16.54,2,9,0.1,Real Estate,1,False
CUST100176,2021-05-10,2024-04-02,Pro,65.96,3,11,0.38,SaaS,11,False
CUST100177,2022-07-26,2024-04-13,Basic,20.36,3,2,0.25,SaaS,3,False
CUST100178,2021-06-05,2024-04-06,Enterprise,255.19,2,8,0.22,Healthcare,38,False
CUST100179,2024-01-08,2024-04-30,Basic,20.76,3,7,0.19,E-commerce,2,True
CUST100180,2021-06-25,2024-04-06,Basic,18.34,5,1,0.18,Education,3,False
CUST100181,2021-06-07,2024-04-10,Basic,15.52,0,11,0.2,Healthcare,1,False
CUST100182,2022-01-04,2023-01-17,Enterprise,1994.92,1,9,0.52,Education,448,True
CUST100183,2022-05-25,2024-04-27,Enterprise,1114.31,1,11,0.28,Finance,271,False
CUST100184,2021-07-28,2024-04-21,Basic,15.78,4,9,0.09,Healthcare,4,False
CUST100185,2021-06-17,2024-04-17,Pro,76.83,4,14,0.19,Education,15,False
CUST100186,2023-02-03,2024-04-25,Pro,57.27,2,9,0.21,Real Estate,6,False
CUST100187,2021-06-19,2024-04-16,Pro,73.9,4,6,0.05,Education,15,False
CUST100188,2023-06-09,2023-07-12,Pro,67.03,5,10,0.1,Education,11,True
CUST100189,2021-06-10,2024-04-07,Basic,21.61,1,10,0.2,E-commerce,1,False
CUST100190,2021-08-17,2024-04-02,Basic,26.5,3,8,0.07,Finance,2,False
CUST100191,2023-01-21,2024-04-07,Enterprise,1098.66,4,15,0.46,Finance,240,False
CUST100192,2021-04-22,2022-02-15,Enterprise,705.33,4,9,0.34,Real Estate,132,True
CUST100193,2023-12-02,2024-04-14,Pro,64.41,3,6,0.12,E-commerce,9,False
CUST100194,2022-06-24,2024-04-06,Basic,20.49,6,11,0.25,Finance,2,False
CUST100195,2024-01-29,2024-04-25,Basic,15.85,0,10,0.43,Real Estate,5,False
CUST100196,2022-12-01,2024-04-14,Pro,50.8,4,6,0.05,SaaS,5,False
CUST100197,2021-06-07,2021-10-23,Enterprise,637.01,5,8,0.81,E-commerce,156,True
CUST100198,2023-12-16,2024-04-03,Enterprise,852.49,4,11,0.45,SaaS,214,False
CUST100199,2023-08-15,2024-04-10,Pro,91.4,4,9,0.2,Education,18,False
CUST100200,2023-07-02,2024-04-21,Pro,55.29,1,7,0.25,Real Estate,6,False
CUST100201,2023-02-27,2024-04-30,Basic,16.85,5,4,0.15,Finance,4,True
CUST100202,2021-04-12,2024-04-11,Basic,15.44,3,11,0.47,SaaS,4,False
CUST100203,2023-08-24,2024-04-24,Enterprise,228.5,3,12,0.52,Healthcare,35,False
CUST100204,2022-03-11,2024-04-26,Pro,58.45,2,13,0.27,Education,9,False
CUST100205,2022-11-17,2024-04-19,Basic,19.06,1,12,0.11,Healthcare,4,False
CUST100206,2023-10-14,2024-04-26,Basic,15.77,2,11,0.11,E-commerce,4,True
CUST100207,2021-07-04,2024-04-13,Pro,70.77,0,7,0.44,SaaS,19,False
CUST100208,2023-08-29,2024-04-06,Basic,20.8,1,9,0.31,Healthcare,1,False
CUST100209,2022-07-26,2024-02-19,Basic,20.88,2,6,0.18,Real Estate,1,True
CUST100210,2021-11-09,2024-04-01,Pro,54.19,4,11,0.23,SaaS,5,False
CUST100211,2022-09-30,2024-04-30,Pro,74.7,1,11,0.33,Healthcare,16,False
CUST100212,2023-03-19,2024-04-11,Pro,82.11,7,13,0.16,Real Estate,17,False
CUST100213,2022-01-22,2024-04-20,Basic,18.24,1,7,0.3,E-commerce,2,False
CUST100214,2022-09-24,2024-04-15,Pro,66.95,2,8,0.26,Real Estate,11,False
CUST100215,2022-05-30,2024-04-30,Basic,22.94,4,12,0.09,Real Estate,3,False
CUST100216,2022-12-26,2024-04-27,Basic,13.93,4,9,0.42,E-commerce,5,False
CUST100217,2021-05-09,2024-04-01,Pro,70.68,0,14,0.12,E-commerce,11,False
CUST100218,2022-11-26,2024-04-19,Pro,69.23,1,9,0.12,E-commerce,12,False
CUST100219,2023-12-02,2024-04-02,Pro,69.22,1,7,0.32,SaaS,12,False
CUST100220,2022-02-01,2024-04-04,Pro,72.97,1,11,0.35,E-commerce,19,False
CUST100221,2023-08-30,2024-04-05,Pro,66.26,4,11,0.71,Healthcare,13,False
CUST100222,2022-05-26,2024-04-21,Basic,17.03,2,11,0.49,Education,5,False
CUST100223,2022-08-20,2024-04-23,Basic,18.69,3,8,0.4,Real Estate,2,False
CUST100224,2023-03-29,2023-06-26,Basic,21.56,6,13,0.13,Real Estate,1,True
CUST100225,2024-02-09,2024-04-23,Basic,18.42,4,7,0.06,Real Estate,2,False
CUST100226,2024-03-28,2024-04-02,Enterprise,781.27,1,11,0.24,Real Estate,233,False
CUST100227,2024-02-29,2024-04-30,Basic,19.07,0,8,0.12,Education,3,True
CUST100228,2022-10-02,2024-04-28,Enterprise,249.06,1,13,0.4,Education,48,False
CUST100229,2021-06-29,2024-04-07,Pro,53.0,2,6,0.27,Real Estate,7,False
CUST100230,2021-12-07,2024-04-15,Pro,56.77,5,16,0.16,Healthcare,11,False
CUST100231,2021-08-16,2024-04-04,Pro,60.58,3,14,0.41,SaaS,8,False
CUST100232,2022-06-22,2024-04-28,Pro,66.69,4,3,0.23,Finance,9,False
CUST100233,2021-11-28,2024-04-06,Basic,20.9,3,19,0.33,SaaS,4,False
CUST100234,2022-06-09,2024-04-13,Basic,18.42,1,8,0.11,Education,2,False
CUST100235,2022-02-24,2022-08-01,Pro,64.04,3,14,0.15,Real Estate,16,True
CUST100236,2021-12-06,2024-04-26,Basic,18.81,2,5,0.46,SaaS,2,False
CUST100237,2024-03-28,2024-04-30,Basic,11.32,2,9,0.13,Healthcare,3,True
CUST100238,2021-11-28,2024-04-13,Pro,53.38,3,13,0.13,Finance,5,False
CUST100239,2023-04-01,2023-10-17,Basic,16.8,2,7,0.26,Finance,3,True
CUST100240,2021-05-29,2022-03-26,Enterprise,1622.77,1,12,0.47,Healthcare,427,True
CUST100241,2022-02-19,2023-09-12,Enterprise,1038.28,0,6,0.18,Healthcare,194,True
CUST100242,2021-06-22,2024-04-03,Enterprise,505.05,3,9,0.48,Healthcare,131,False
CUST100243,2023-11-18,2024-04-11,Basic,20.19,4,11,0.41,Healthcare,4,False
CUST100244,2024-02-27,2024-04-17,Basic,22.15,0,15,0.29,SaaS,2,False
CUST100245,2022-09-25,2024-04-24,Enterprise,1702.9,2,10,0.51,SaaS,359,False
CUST100246,2023-01-01,2024-04-01,Basic,18.84,3,11,0.5,Finance,1,False
CUST100247,2021-05-10,2024-04-13,Enterprise,1628.71,2,7,0.35,Healthcare,472,False
CUST100248,2023-04-01,2024-04-06,Enterprise,1945.04,3,10,0.49,SaaS,432,False
CUST100249,2022-08-27,2024-04-07,Enterprise,401.12,2,11,0.22,Real Estate,111,False
CUST100250,2022-10-01,2024-04-08,Basic,23.22,5,12,0.49,Education,5,False
CUST100251,2022-01-20,2022-09-12,Basic,20.37,0,8,0.32,SaaS,2,True
CUST100252,2022-05-22,2024-04-08,Enterprise,376.38,2,13,0.35,Education,60,False
CUST100253,2024-01-25,2024-04-30,Basic,20.48,3,15,0.16,SaaS,3,True
CUST100254,2022-03-27,2024-04-18,Basic,15.72,1,14,0.29,Finance,2,False
CUST100255,2023-01-21,2024-04-09,Pro,67.27,1,7,0.14,Real Estate,13,False
CUST100256,2022-10-23,2024-04-10,Enterprise,1559.4,0,8,0.52,Healthcare,374,False
CUST100257,2021-06-23,2024-04-19,Pro,67.41,1,11,0.56,Healthcare,17,False
CUST100258,2023-08-11,2024-04-16,Pro,84.58,0,10,0.11,Education,15,False
CUST100259,2022-07-03,2024-01-13,Basic,16.99,2,15,0.3,SaaS,4,True
CUST100260,2023-07-20,2024-04-16,Pro,59.71,0,15,0.04,Education,8,False
CUST100261,2021-08-17,2024-04-27,Enterprise,845.71,2,5,0.17,Finance,296,False
CUST100262,2023-08-07,2024-04-23,Basic,20.5,1,9,0.03,Finance,5,False
CUST100263,2022-03-03,2024-04-23,Pro,61.14,2,7,0.18,Real Estate,14,False
CUST100264,2023-06-09,2024-04-28,Enterprise,692.52,5,11,0.27,Education,201,False
CUST100265,2022-08-03,2023-08-14,Pro,60.97,2,5,0.1,Real Estate,11,True
CUST100266,2022-12-08,2023-01-28,Pro,70.32,0,11,0.26,E-commerce,16,True
CUST100267,2021-11-23,2024-04-12,Pro,50.82,1,15,0.03,Healthcare,5,False
CUST100268,2021-10-01,2024-04-13,Basic,11.96,1,23,0.29,Healthcare,2,False
CUST100269,2023-08-12,2024-04-30,Basic,21.36,4,9,0.51,SaaS,1,True
CUST100270,2023-09-24,2024-04-30,Pro,60.61,1,17,0.38,E-commerce,10,True
CUST100271,2021-07-30,2024-04-30,Pro,60.04,1,8,0.47,Finance,8,False
CUST100272,2023-07-23,2024-04-28,Enterprise,165.54,1,15,0.37,Education,21,False
CUST100273,2024-03-19,2024-04-08,Enterprise,1385.97,2,7,0.24,Education,316,False
CUST100274,2023-01-16,2023-04-16,Pro,69.35,4,10,0.1,E-commerce,10,True
CUST100275,2023-01-10,2024-04-23,Pro,68.7,2,6,0.36,Education,13,False
CUST100276,2023-03-14,2024-04-28,Pro,53.6,5,10,0.53,E-commerce,6,False
CUST100277,2024-03-02,2024-04-02,Pro,63.33,2,7,0.42,Education,9,False
CUST100278,2023-02-12,2024-04-29,Pro,62.61,1,8,0.18,SaaS,10,False
CUST100279,2022-04-22,2024-04-03,Pro,70.89,1,19,0.34,Finance,18,False
CUST100280,2023-01-08,2024-04-20,Enterprise,478.52,3,10,0.1,Healthcare,94,False
CUST100281,2023-10-03,2024-04-28,Basic,21.91,0,15,0.02,SaaS,5,False
CUST100282,2021-04-04,2024-04-14,Basic,20.04,4,9,0.14,SaaS,3,False
CUST100283,2023-02-19,2024-04-23,Basic,20.24,2,8,0.14,SaaS,1,False
CUST100284,2023-12-11,2024-04-22,Pro,54.55,1,7,0.28,Healthcare,6,False
CUST100285,2022-11-13,2024-04-09,Basic,17.32,1,20,0.77,Real Estate,4,False
CUST100286,2023-06-19,2024-04-30,Basic,18.25,2,8,0.21,E-commerce,2,True
CUST100287,2023-01-24,2023-09-30,Pro,57.93,3,9,0.15,SaaS,9,True
CUST100288,2023-02-05,2024-04-30,Basic,20.48,2,17,0.35,Healthcare,3,True
CUST100289,2021-04-19,2024-04-26,Pro,66.51,1,15,0.13,SaaS,14,False
CUST100290,2023-06-08,2024-04-07,Basic,23.45,1,9,0.34,Finance,3,False
CUST100291,2021-04-21,2024-04-01,Basic,22.64,2,7,0.3,Finance,5,False
CUST100292,2022-09-04,2024-01-31,Pro,70.84,2,7,0.53,Real Estate,17,True
CUST100293,2023-07-22,2024-04-25,Basic,19.82,3,13,0.11,SaaS,2,True
CUST100294,2022-05-05,2024-04-05,Basic,23.91,2,8,0.26,Real Estate,4,False
CUST100295,2022-10-23,2024-04-15,Pro,58.94,3,8,0.11,E-commerce,10,False
CUST100296,2021-08-20,2024-04-05,Pro,61.45,2,9,0.07,Education,11,False
CUST100297,2024-03-05,2024-04-30,Basic,21.97,4,8,0.43,Healthcare,4,True
CUST100298,2023-02-20,2024-04-24,Pro,67.49,2,9,0.24,SaaS,12,False
CUST100299,2022-01-04,2022-05-10,Basic,15.54,2,7,0.18,Education,3,True
CUST100300,2021-06-22,2021-10-29,Basic,19.69,1,11,0.06,Healthcare,2,True
CUST100301,2021-09-09,2024-04-09,Pro,49.89,0,12,0.12,SaaS,5,False
CUST100302,2021-12-08,2024-04-17,Pro,53.59,1,11,0.08,Healthcare,9,False
CUST100303,2022-05-24,2024-04-19,Pro,59.48,0,10,0.45,Healthcare,10,False
CUST100304,2022-07-26,2023-11-01,Pro,68.14,5,8,0.37,Real Estate,15,True
